next_result,weighted_average5,weighted_average10
0,-947,-776.1454545
0,-604.6666667,-689.5454545
-1,-281.2666667,-518.0545455
-1,-2055.933333,-2378.2
0,-1921.2,-2529.436364
-1,-743.4666667,-1558.945455
1,-1478.533333,-2313.781818
-1,632,-313.7090909
-1,-1289,-1976.709091
0,-3389.4,-4035.618182
1,-2083.466667,-3047.709091
1,-441.6666667,-1582.690909
-1,452.5333333,-596.8545455
-1,-1688.066667,-2525.563636
-1,-1640.4,-2487.490909
0,-1692.4,-2501.781818
1,-552.1333333,-1417.218182
-1,2124.4,1304.163636
1,139.6,-209.4909091
1,1023.533333,902.3090909
0,1149.466667,1337.563636
-1,642.4,1116.254545
1,-824.5333333,-243.6727273
-1,204.7333333,556.8181818
-1,-609.1333333,-326.1636364
-1,-1420.466667,-1369.636364
-1,-1456.266667,-1737.236364
1,-2673.066667,-3216.436364
0,-624.8666667,-1528.672727
-1,155.3333333,-807.7636364
-1,-343.0666667,-1141.872727
0,-1259.8,-1898.745455
-1,-610,-1217.018182
1,-2215.333333,-2705.145455
0,-550.4,-1256.563636
0,40.26666667,-667.6727273
0,232.3333333,-357.4909091
0,-116.6,-524.8909091
0,412.6,121.4363636
0,713,658.5272727
-1,518.4,655.4545455
0,-768.9333333,-523.5272727
0,-373.7333333,-251.4545455
0,246,283.9818182
1,456.8666667,462.4181818
-1,2357.533333,2385.709091
-1,423.8,801.5090909
0,-1700.4,-1222.854545
-1,-1021.066667,-817.1090909
0,-1839.266667,-1861.2
-1,-1614.266667,-2014.018182
-1,-2245.066667,-3005.981818
1,-3032.333333,-4115.836364
-1,-1040.4,-2446.309091
-1,-1261.733333,-2651.181818
0,-2423.733333,-3739.545455
1,-1896.4,-3268.672727
0,374.1333333,-965.4181818
1,629.2666667,-347.3090909
1,1159.333333,533.0727273
1,1964.933333,1776.145455
1,2720.866667,3079.672727
0,3074.533333,3975.363636
1,1667.6,3011.781818
1,3175.533333,4679.327273
-1,3348.2,5118.581818
-1,1406.6,3362.854545
1,-1176.2,615.8181818
-1,1395.266667,2618.145455
0,-435.1333333,614.2909091
1,-211.5333333,369.4545455
0,480.0666667,712.3636364
0,-56.6,92.6
0,-305.4666667,-212.4181818
0,-409.1333333,-450.7090909
1,-91.26666667,-175.2181818
0,551.6666667,465.2
0,267.2666667,248.6363636
